제품명,표준코드명
경동아스피린장용정,"8806481033221"""""
경동파니틴정10밀리그램(파모티딘),"""8806481048706"",""8806481048713"""
경동판테놀연고(덱스판테놀),"""8806481047310"",""8806481047303"""
경보아스피린장용정,"8806650016512"""""
계안겔(수출용),"""8806265011810"",""8806265011803"""
고가이큐캡슐(수출명:gogaiQCapsules),"""8806796000208"",""8806796000215"""
고닐고포르테경고제,"8806495001018"""""""
고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream),"""8806428001108"",""8806428001115"",""8806428001122"""
고운자임맘정,"""8806433063405"",""8806433063412"",""8806433063429"""
고칼디정,"""8806456042104"",""8806456042111"",""8806456042128"""
골드타민연질캡슐,"8806796004015"""""""
골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN),"""8806538000305"",""8806538000312"",""8806538000329"",""8806538000336"",""8806538000343"",""8806538000350"",""8806538000367"",""8806538000374"",""8806538000381"""
광동네모파스카타플라스마,"""8806418060504"",""8806418060511"""
광동동의한방고카타플라스마,"""8806418001804"",""8806418001811"""
광동리버샷액,"""8806418060306"",""8806418060313"""
광동리버샷정,"""8806418062003"",""8806418062010"",""8806418062027"""
광동만수고골드플라스타,"""8806418066209"",""8806418066216"",""8806418066223"",""8806418066315"",""8806418066322"",""8806418066308"""
광동벤포파워액,"8806418062812"""""""
광동벤포파워제트액,"8806418067510"""""""
광동아스피린장용정100mg,"""8806418062928"",""8806418062911"",""8806418062904"""
광동알디액,"8806418068210"""""""
광동에너릭정,"""8806418071302"",""8806418071319"""
광동큐디액,"8806418008216"""""""
광동탕에이액,"""8806418057603"",""8806418057610"",""8806418059713"",""8806418059706"""
광동탕엠액,"8806418068616"""""""
광동파워센액(시트룰린말산염),"""8806418047109"",""8806418047116"""
광동프라목신크림(프라목신염산염),"""8806418056200"",""8806418056217"""
구루치온정100밀리그램(글루타티온(환원형)),"""8806619045409"",""8806619045423"",""8806619045416"",""8806619045430"""
구미태고액1%(알킬디아미노에틸글리신염산염액),"""8806804000503"",""8806804000510"",""8806804000527"",""8806804000534"""
구미포비돈세정액7.5%(포비돈요오드),"""8806804002613"",""8806804002620"",""8806804002606"""
