제품명,표준코드명
바르지오네일라카(시클로피록스),"""8806427063305"",""8806427063312"",""8806427063329"",""8806427063336"""
바르지오모두크림,"8806427069819"""""""
바르지오원스외용액(테르비나핀염산염),"""8806427072208"",""8806427072215"""
바르지오크림(테르비나핀염산염),"""8806427015403"",""8806427015410"""
바르핀케어네일라카(시클로피록스),"""8806432034505"",""8806432034512"""
바르핀쿨크림,"8806432027910"""""""
바른솔크림,"8806518008802"""""
바리켄산(바실루스리케니포르미스균),"""8806554033509"",""8806554033516"""
바리토나액(비포나졸),"""8806436010505"",""8806436010512"""
바소피린장용정(아스피린),"""8806446028606"",""8806446028613"",""8806446028620"""
바스칼캡슐,"8806448008613"""""
바스크롱에프캡슐,"""8806448056607"",""8806448056614"""
바스포연고,"8806436010611"""""""
바스힐캡슐,"8806980041710"""""""
바시락크림(아시클로버),"""8806429005709"",""8806429005716"",""8806429005723"""
바시판에이과립,"8806446018812"""""
바시판포르미산(바실루스리케니포르미스균),"""8806446038308"",""8806446038315"""
바시판포르미캡슐(바실루스리케니포르미스균),"""8806446035901"",""8806446035918"",""8806446035925"",""8806446035932"""
바실로비정,"8806446025612"""""""
바실리스산(바실루스리케니포르미스균),"""8806560048719"",""8806560048702"""
바실리스캡슐(바실루스리케니포르미스균),"""8806560048603"",""8806560048627"",""8806560048610"""
바실리켄캡슐(바실루스리케니포르미스균),"""8806452086102"",""8806452086119"",""8806452086126"""
바실리포미스산(바실루스리케니포르미스균),"""8806985035400"",""8806985035417"""
바실리포미스캡슐(바실루스리케니포르미스균),"""8806985035509"",""8806985035516"",""8806985035523"""
바실페디산(바실루스리케니포르미스균),"""8806457026806"",""8806457026813"""
바이겔크림(인도메타신),"""8806707003700"",""8806707003717"",""8806707003724"",""8806707003731"",""8806707003748"",""8806707003762"",""8806707003779"""
바이놀크림(아시클로버),"""8806422005409"",""8806422005416"",""8806422005423"",""8806422005430"",""8806422005447"""
바이락스클리어크림,"8806428031105"""""""
바이메드캡슐(사카로마이세스보울라르디균),"""8806545027104"",""8806573017702"",""8806985004604"",""8806545027111"",""8806573017719"",""8806985004611"",""8806545027128"",""8806573017726"",""8806985004628"",""8806545027135"",""8806573017733"",""8806985004635"",""8806985004642"",""8806985004659"",""8806985004666"""
바이메틴정(트리메부틴말레산염),"""8806545004600"",""8806985002808"",""8806545004617"",""8806985002815"",""8806545004624"",""8806985002822"",""8806545004631"",""8806985002839"",""8806985002846"""
바이버크림(아시클로버),"""8806435011206"",""8806435011213"""
바이브렉스연질캡슐,"8800551025512"""""""
바이스탑캡슐,"""8806538030500"",""8806538030517"""
바이아트럼스프레이제2400IU/g(헤파린나트륨),"""8806859001104"",""8806859001111"",""8806859001210"",""8806859001203"""
바이엘아스피린정500밀리그람,"8806411000712"""""
바이오아지니나액(L-아르기닌),"""8800502000100"",""8806877000202"",""8800502000124"",""8806877000219"",""8800502000131"",""8806877000226"",""8800502000148"",""8806877000233"",""8800502000155"",""8800502000117"""
바이오콘연질캡슐,"""8806573017801"",""8806573017818"",""8806573017825"",""8806573017832"""
바이오탑디듀얼캡슐,"8806556053413"""""
바이오탑디포르테세립,"""8806556055202"",""8806556055226"",""8806556055233"",""8806556055219"""
바이오탑디포르테캡슐,"""8806556053901"",""8806556053918"",""8806556053925"""
바이오탑하이듀얼캡슐,"8806556053512"""""
바이오탑하이포르테캡슐,"8806556053819"""""
바이오파워캡슐,"8806581006019"""""
바이캅정(탄산수소나트륨),"""8800732003407"",""8800732003414"""
바이코민정,"8806460043517"""""""
바이코비정,"8806836021002"""""
바이콜시럽,"8806573017917"""""""
바이타맥스골드정,"8806575037616"""""
바이타민마하정,"""8806258013104"",""8806258013111"""
바이타민트윈샷정,"8806258013210"""""""
바이타비정,"""8806699061108"",""8806699061115"""
바이타비플러스정,"8806699070117"""""
바이타액트이엑스정,"""8806417052401"",""8806417052418"""
바이타액트정,"8806417044611"""""""
"바이탈씨에프정(수출명:라스코르빈포르트,아스코르빈플러스)","""8806421005707"",""8806421005714"",""8806421005721"""
바이펜연질캡슐300mg(덱시부프로펜),"""8806698050301"",""8806698050318"""
바코시론크림(아시클로버),"""8806486006008"",""8806486006015"",""8806486006022"""
바크락스연고(아시클로버),"""8806452042504"",""8806518009205"",""8806452042511"",""8806518009212"",""8806452042528"",""8806518009229"",""8806518009236"",""8806518009243"""
"바크락스크림(아시클로버)(수출명:바이러스탈크림,BEEVIRUTAL크림)","""8806452042801"",""8806518009700"",""8806452042818"",""8806518009717"",""8806452042825"",""8806518009724"",""8806518009731"",""8806518009748"""
바토루스캡슐(바실루스리케니포르미스균),"""8806636073720"",""8806636073713"",""8806636073706"""
박테로신연고(무피로신)(수출명: KM MUPIROCIN Oint),"""8806717004803"",""8806717004810"",""8806717004827"",""8806717004834"",""8806717004841"""
박트란연고(무피로신),"""8806409008706"",""8806574008709"",""8806409008713"",""8806574008716"",""8806574008723"""
박트리안연고(무피로신),"""8806448009009"",""8806448009016"",""8806448009023"""
박티그라(클로르헥시딘아세트산염),"""8806818000100"",""8806818000117"",""8806818000124"",""8806818000612"",""8806818000629"",""8806818000711"",""8806818000728"",""8806818000810"",""8806818000605"",""8806818000704"",""8806818000803"",""8806818000827"""
반드레크림(우레아),"""8806567008204"",""8806567008211"""
반질크림(우레아),"""8806275001009"",""8806998013303"",""8806998013310"",""8806275001016"",""8806998013327"""
반테린코와이엑스크림,"8806239001304"""""""
반테린코와크리미겔,"""8806239000109"",""8806470003501"",""8806239000116"""
발란시드정(탄산수소나트륨),"""8806985041302"",""8806985041319"",""8806985041326"""
발렌시아연질캡슐,"""8806448009108"",""8806448009115"""
발무드겔(테르비나핀),"""8806573018303"",""8806573018310"",""8806573018327"""
발무졸크림(수출용),"""8806519011504"",""8806519011511"""
배가나정,"""8806718073808"",""8806718073815"",""8806718073822"",""8806718073839"",""8806718073846"",""8806718073853"""
배탈렌캡슐,"8806673004503"""""
백일후애액2%(미녹시딜),"""8806459015709"",""8806459015716"""
백일후애액5%(미녹시딜),"""8806459015907"",""8806459015914"""
백일후애캡슐,"""8806459064400"",""8806459064417"""
백초수액,"""8806436056206"",""8806436056213"""
밸런비타연질캡슐,"""8806616040803"",""8806616040810"",""8806616040827"""
뱅드롱액,"""8806422005508"",""8806422005515"",""8806422005522"""
뱅드롱에스시럽,"8806422047416"""""
버래물액,"""8806438012804"",""8806438012811"",""8806438012828"",""8806438012835"",""8806438012842"""
버물리알파액,"""8806420045100"",""8806420045117"",""8806420045124"",""8806420045131"",""8806420045148"",""8806420045155"""
버물리에스액,"""8806420004008"",""8806420004015"",""8806420004022"""
버물리키드크림,"8806420014410"""""
버물리플라스타,"""8806420038515"",""8806420038508"",""8806420038522"",""8806420038539"",""8806420045018"",""8806420045001"""
번세이프크림(구아야줄렌),"""8806543043205"",""8806543043212"",""8806543043229"""
벌모엔겔,"""8806560045701"",""8806560045718"""
벌무덴리니멘트,"8806417005216"""""""
벌무덴쿨겔,"8806417052500"""""""
베나졸크림(테르비나핀염산염),"""8806650029000"",""8806650029017"",""8806650029024"""
베나치오세립,"""8806265007905"",""8806265007912"",""8806265007929"",""8806265007936"""
베나치오액,"8806425052509"""""
베노론디정600밀리그램(디오스민),"""8806556054502"",""8806556054519"",""8806556054526"""
베노론캡슐(디오스민),"""8806556007706"",""8806556007713"",""8806556007720"",""8806556007737"""
베노벡스겔,"8806422036212"""""""
베노케어겔,"""8806490017014"",""8806490017007"""
베노쿨에스액,"""8806445023404"",""8806445023411"""
베노쿨키드크림,"8806445023312"""""""
베노터치힐러플라스타,"""8806445023503"",""8806445023510"""
"베노플러스겔(수출명:베노포르테겔,트롬보실겔)","""8806445007800"",""8806445007817"",""8806445007824"",""8806445007831"",""8806445007848"""
베니에프정,"8800605008218"""""
베데스타-지크림,"""8806567008303"",""8806567008310"",""8806567008327"",""8806567008334"""
베라비타정,"8806452090413"""""
베라스톤크림,"""8806498018501"",""8806498018518"",""8806498018525"""
베라틴스크랍액(포비돈요오드),"""8806641014305"",""8806641014312"",""8806641014329"""
베로나에스정,"""8806458040702"",""8806458040719"""
베로신지크림,"""8806542000100"",""8806542000117"""
베로아크림0.15%(프레드니솔론발레로아세테이트),"""8806448065203"",""8806448065210"""
베로타이엑스정,"""8806230069303"",""8806562052103"",""8806230069310"",""8806562052110"""
베로타정,"8806891023102"""""
베루본에스정,"""8806543012409"",""8806543012416"",""8806543012423"",""8806543012430"",""8806543012447"""
베베락스액,"8806574005012"""""
베베클나잘스프레이(염화나트륨),"""8806449147908"",""8806449147915"""
"베부틴정(트리메부틴말레산염)(수출명:영일트리메부틴정,TRISPASMTab)","""8806494009602"",""8806494009619"",""8806494009626"",""8806494009633"",""8806494009640"""
"베비맥시럽(딸기향,포도향)","""8806415008103"",""8806415008110"",""8806415008134"",""8806415028019"",""8806415028026"",""8806415028002"""
베비움시럽(락툴로오즈농축액),"""8806441034206"",""8806441034220"",""8806441034237"",""8806441034213"""
베비잘시럽(이부프로펜),"""8806433009007"",""8806433009014"""
베세틴스크럽세액(포비돈요오드),"""8806420004305"",""8806420004312"",""8806420004329"""
베세틴액(포비돈요오드),"""8806420004404"",""8806420004411"",""8806420004428"""
베스자임정,"8806425020201"""""
베스타제당의정,"""8806265001200"",""8806425020300"",""8806265001217"",""8806425020317"",""8806265001224"",""8806425020324"",""8806265001231"",""8806425020331"",""8806265001248"",""8806425020348"""
베스타제정,"""8806265001101"",""8806425020508"",""8806265001118"",""8806425020515"",""8806265001125"",""8806425020522"",""8806265001132"",""8806425020539"",""8806265001149"",""8806425020546"""
베스타제포르테정,"8806425020607"""""
베스티아제정,"""8806985030306"",""8806985030313"",""8806985030320"""
베아라제정,"8806472039119"""""
베아로반연고(무피로신),"""8806684019831"",""8806556049829"",""8806684019817"",""8806556049812"",""8806684019824"",""8806556049805"",""8806684019800"""
베아로제정,"8806458001611"""""""
베아비오캡슐(바실루스리케니포르미스균),"""8806416030202"",""8806940006506"",""8806416030219"",""8806940006513"",""8806940006520"""
베아제정,"""8806416014608"",""8806416014615"",""8806416014622"",""8806416014639"",""8806416014646"",""8806416014653"",""8806416014660"",""8806416014677"",""8806416014684"",""8806416014691"",""8806416014714"""
베아타제정,"""8806491032825"",""8806491032801"",""8806491032818"",""8806491032832"""
베아틴정,"""8806578033905"",""8806578033912"",""8806578033929"""
베아파모정10밀리그램(파모티딘),"""8806940030600"",""8806940030617"",""8806940030624"",""8806940030631"""
베오파제정,"8806985011800"""""
베이덤연고(우레아),"""8806448009405"",""8806448009412"",""8806448009429"",""8806448009436"""
베타겐지크림,"""8806701005205"",""8806701005212"",""8806701005229"""
베타딘드라이파우더스프레이,"8806780003710"""""""
베타딘세정액(포비돈요오드),"""8806530008903"",""8806530008910"",""8806530008927"",""8806530008934"",""8806530008941"",""8806530008965"",""8806530008972"",""8806530008958"",""8806530008989"",""8806530008996"",""8806530055211"""
베타딘액(포비돈요오드),"""8806530008705"",""8806530008712"",""8806530008729"",""8806530008736"""
베타딘인후스프레이(포비돈요오드),"""8806780003604"",""8806780003611"",""8806780004915"",""8806780004908"""
베타셀민연질캡슐,"8806452107517"""""
베타손크림,"8806650025712"""""""
베타엠크림,"8806428007612"""""
베타케어에이플러스점안액(폴리소르베이트80)(1회용),"""8806980039403"",""8806980039410"",""8806980039519"",""8806980039502"",""8806980039427"""
베트라겔,"""8806980027608"",""8806980027615"""
벡크정,"8806701005410"""""
벤다졸정(알벤다졸),"""8806472010309"",""8806472010316"",""8806472010323"",""8806472010330"",""8806472010347"",""8806472010354"",""8806472010361"",""8806472010378"",""8806472010385"",""8806472010392"",""8806472010415"",""8806472010422"",""8806472010439"""
벤비노정,"""8806696051317"",""8806696051300"""
벤스나졸크림(테르비나핀염산염),"""8806542002906"",""8806542002913"""
벤스쿨크림,"8806542022010"""""""
벤작에이씨겔2.5%(과산화벤조일),"""8806557001604"",""8806557001611"",""8806557001628"",""8806557001635"""
벤즈날정(트리메부틴말레산염),"""8806228003609"",""8806552002903"",""8806228003616"",""8806552002910"",""8806228003623"",""8806552002927"",""8806228003630"",""8806552002934"",""8806552002941"""
벤지드로션5%(과산화벤조일),"""8806589001900"",""8806589001917"",""8806589001924"""
벤타손연고(무피로신),"""8806566009103"",""8806980020005"",""8806980020012"",""8806980020029"""
벤투룩스30mg캡슐(엔테로코쿠스페슘스트레인세르넬레68균),"""8806573019300"",""8806573019317"",""8806573019324"",""8806573019331"",""8806573019348"""
벤트락스겔(수출명 : SUNTRAX GEL),"""8806448009603"",""8806448009610"",""8806448009627"",""8806448009634"",""8806448009641"""
벤트플라겔,"8806448033011"""""
벤티브정,"""8800548007101"",""8800548007118"",""8800548007125"",""8800548007132"",""8800548007149"",""8800548007156"""
벤포라민정,"8806560032718"""""
벤포렉스캡슐,"""8806646005803"",""8806646005810"",""8806646005827"""
벤포마그빅액티브에스연질캡슐,"""8806258012718"",""8806258012701"""
벤포맥스100정,"8806581059602"""""""
벤포메가정,"8806581050210"""""""
벤포바이타나이스정,"""8806417062806"",""8806417062813"""
벤포벨브이정,"""8806433088705"",""8806472043901"",""8806433088712"",""8806472043918"""
벤포벨에스정,"""8806433089702"",""8806433089719"",""8806433089726"""
벤포벨정,"""8806433076306"",""8806433076313"",""8806636068818"",""8806433076320"",""8806636068801"",""8806433076337"",""8806433076344"""
벤포벨지정,"8806433083502"""""""
벤포비타100정,"8806625036019"""""
벤포비파워정,"""8806503044907"",""8806503044914"""
벤포빅정,"""8806581074407"",""8806581074414"""
벤포스정,"""8806560052808"",""8806560052815"",""8806560052822"",""8806560052839"",""8806560052853"",""8806560052846"""
벤포액티브연질캡슐,"8806420047319"""""
벤포액티브프리미엄정,"""8806420047616"",""8806420047623"",""8806420047630"",""8806420047609"",""8806420047647"",""8806420047654"""
벤포칸정,"""8806472057205"",""8806472057212"",""8806472057229"",""8806472057236"",""8806472057243"""
벤포커스정,"8806417059011"""""""
벤포콤정,"""8806218041604"",""8806218041628"",""8806218041611"",""8806218041642"",""8806218041635"",""8806218041659"""
벤포타임정,"""8806903032108"",""8806903032115"",""8806903032122"",""8806903032139"",""8806903032146"",""8806903032153"""
벤포타정,"8806585024316"""""
벤포테인정,"8806446041810"""""""
벨노즈캡슐,"8806458041914"""""""
벨라제정(브로멜라인),"""8806655012700"",""8806655012717"",""8806655012724"""
벨라제정45mg(브로멜라인),"""8806655012809"",""8806655012816"",""8806655012823"""
보감탕노즈액,"""8806476031300"",""8806476031317"",""8806476031324"""
보감탕액,"""8806476031225"",""8806476031201"",""8806476031218"""
보감탕코프액,"""8806476031126"",""8806476031102"",""8806476031119"""
보나링에이정(디멘히드리네이트),"""8806417005605"",""8806417005612"",""8806417005629"",""8806417005636"""
보나링츄어블정,"8806417051503"""""""
보니타정,"8806420041300"""""""
보두레아크림(우레아)(수출명:EUSOFTYL Cream),"""8806473004109"",""8806473004116"""
보드란크림(우레아),"""8806452105902"",""8806452105919"""
보들연고(우레아),"""8806275002402"",""8806998017929"",""8806275002419"",""8806998017905"",""8806998017912"""
보령마그락비타연질캡슐,"""8806419063818"",""8806419063801"""
보령뮤코미스트액(아세틸시스테인),"""8806419012403"",""8806419012410"",""8806419012427"",""8806419012434"""
보령뮤코미스트액10%(아세틸시스테인),"""8806419078409"",""8806419078423"",""8806419078416"""
보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립),"""8806418044702"",""8806705005409"",""8806705005447"",""8806705005430"",""8806705005423"",""8806705005416"",""8806705005454"",""8806705005461"",""8806705005478"""
보령바이오아스피린장용정100밀리그램,"8806705019710"""""
보령아스트릭스캡슐100밀리그람(아스피린),"""8806419014407"",""8806419014414"",""8806419014421"",""8806419014438"",""8806419014445"",""8806419014452"",""8806419014469"",""8806419014476"",""8806419014483"""
보령아이락비타연질캡슐,"""8806419063702"",""8806419063719"""
보령알벤다졸정,"8806419014810"""""
보령펜시럽(덱시부프로펜),"""8806419076702"",""8806419076719"",""8806419076726"",""8806419076733"",""8806419076740"""
보미롱산,"""8806494010004"",""8806494010011"",""8806494010028"",""8806494010035"",""8806494010042"""
보위황정,"""8806575033601"",""8806575033618"",""8806575033625"""
"보화소합원(대환,소환)","""8806626001108"",""8806626001115"",""8806626001139"",""8806626001122"",""8806626001146"",""8806626001153"",""8806626001160"",""8806626001177"",""8806626001184"",""8806626001191"",""8806626013118"",""8806626013125"""
복합란타딘정,"""8806230039702"",""8806230039719"",""8806230039726"",""8806230039733"""
복합마데카솔연고(수출명:복합리포솔연고),"""8806534006707"",""8806534006714"",""8806534006721"",""8806534006738"""
복합마이녹실액5%,"""8806420042215"",""8806420042208"",""8806420042222"",""8806420042239"",""8806420051217"",""8806420051118"",""8806420051101"",""8806420051200"""
복합무조메에스겔,"""8806574011204"",""8806574011211"",""8806574011228"",""8806574011235"""
복합써스펜좌약,"8806435011411"""""
복합쓸기담연질캡슐,"8806423010518"""""
복합엘씨500연질캡슐(수출명:MEGA-NAMIC)(수출용),"""8806698013207"",""8806698013214"",""8806698013221"",""8806698013238"",""8806698013245"""
복합우루사연질캡슐,"8806416015513"""""
복합유디리버연질캡슐,"""8806421038903"",""8806421038910"",""8806421038927"",""8806421038934"",""8806421038941"""
복합탈시드츄어블정,"8806411047915"""""
복합테르비나쿨크림,"8806452095142"""""
복합테르쿨크림,"8806560044612"""""""
복합파자임이중정,"""8806422005805"",""8806422005812"",""8806422005829"",""8806422005836"",""8806422005843"",""8806422005850"""
복합판시놀액,"8806432034239"""""
본디칼맥스정,"""8806696048409"",""8806696048416"",""8806696048423"""
본디칼정,"""8806696048508"",""8806696048515"",""8806696048522"""
본디칼플러스정,"8806696048300"""""
본본연질캡슐,"""8806616042005"",""8806616042012"""
본스칼엠정,"8806446040912"""""""
본스칼츄어블정,"8806446026213"""""""
본에존연질캡슐,"8806538044217"""""""
본에킹연질캡슐,"8806616036011"""""
본에탑연질캡슐,"8806427066818"""""""
본엔디연질캡슐,"8806417038313"""""""
본탑600골드정,"8806427066016"""""
본투본연질캡슐,"8806424041313"""""
볼그레액(철아세틸트랜스페린),"""8806433010003"",""8806433010010"",""8806433010027"",""8806433010034"",""8806433010041"",""8806433010058"""
볼그레캡슐(철-아세틸트랜스페린),"""8806433010102"",""8806433010119"",""8806433010126"",""8806433010140"",""8806433010157"",""8806433010164"""
볼두민액5%(미녹시딜),"""8806449010806"",""8806449010813"",""8806449010837"",""8806449010844"""
볼두민캡슐,"8806449123124"""""""
볼타렌에멀겔(디클로페낙디에틸암모늄),"""8800516001605"",""8806536004305"",""8800516001612"",""8806536004312"",""8800516001629"",""8806536004329"""
부광더모픽스겔(세르타코나졸질산염)(수입명:Dermofixgel),"""8806422006109"",""8806422006116"""
부로멜라장용정(브로멜라인),"""8806498018907"",""8806498018914"",""8806498018921"",""8806498018938"",""8806498018945"",""8806498018952"""
부로멜장용정(브로멜라인),"""8806431042938"",""8806431042921"",""8806431042914"",""8806431042907"""
부루펜정200밀리그램(이부프로펜),"""8806439004709"",""8806439004716"",""8806439004723"",""8806439004730"",""8806439004747"",""8806439004754"""
부루펜정400밀리그램(이부프로펜),"""8806439004808"",""8806439004815"",""8806439004822"",""8806439004839"",""8806439004846"",""8806439004853"",""8806439004860"""
부스코판당의정(부틸스코폴라민브롬화물),"""8800742000700"",""8806520010107"",""8806535009509"",""8800742000717"",""8806520010114"",""8800742000724"",""8806520010121"",""8806535009523"",""8806535009530"",""8806535009547"""
부스코판플러스정,"8806520010404"""""
부채표한방파프플러스카타플라스마,"""8806427063701"",""8806427063725"",""8806427063718"""
부테나크림(부테나핀염산염),"""8806441002809"",""8806441002816"",""8806441002823"",""8806441002830"""
뷰원연질캡슐,"""8806571002106"",""8806573058101"",""8806571002113"",""8806573058118"",""8806571002120"""
뷰티네일라카(아모롤핀염산염),"""8806491047706"",""8806491047713"""
뷰티스홈15%겔,"8800535001624"""""
브라이점안액,"""8806485012901"",""8806485012918"""
브레노즈연질캡슐,"""8806805006009"",""8806805006016"""
브레인플러스정(수출용),"""8806696050020"",""8806696050006"",""8806696050013"",""8806696050044"",""8806696050037"""
브레핀에스연질캡슐(이부프로펜),"""8806449133604"",""8806449133611"""
브렌콜에프연질캡슐,"8806458035517"""""""
브로나인장용정(브로멜라인),"""8806409042304"",""8806636081909"",""8806409042311"",""8806636081916"""
브로나제장용정(브로멜라인),"""8806228036218"",""8806228036201"""
브로다제장용정(브로멜라인),"""8806619005106"",""8806619005113"",""8806619005120"",""8806619005137"",""8806619005144"",""8806619005151"""
브로라제장용정(브로멜라인),"""8806932022804"",""8806932022811"""
브로립신정,"8806417056515"""""""
브로멜라장용정(브로멜라인),"""8806696056008"",""8806696056015"",""8806696056022"",""8806696056039"""
브로멜란장용정(브로멜라인),"""8806985043313"",""8806985043320"",""8806985043306"""
브로멜자임장용정(브로멜라인),"""8806437047913"",""8806437047920"",""8806437047937"",""8806437047906"",""8806437047944"""
브로멜장용정45밀리그램(브로멜라인),"""8806650029406"",""8806650029413"",""8806650029420"""
브로아제장용정(브로멜라인),"""8806607032800"",""8806607032817"""
브로자임정(브로멜라인),"""8806575005509"",""8806575005516"",""8806575005523"",""8806575005530"",""8806575005547"",""8806575005554"""
브로젠장용정45mg(브로멜라인),"""8806586045419"",""8806586045426"",""8806586045402"""
브록솔정(암브록솔염산염),"""8806288004202"",""8806288004219"",""8806288004233"",""8806288004226"""
브론펙트캡슐(에르도스테인),"""8806478044001"",""8806478044018"",""8806478044025"",""8806478044032"""
브롤라인장용정(브로멜라인),"""8806456054015"",""8806456054008"""
브멜라인장용정(브로멜라인),"""8806980042007"",""8806980042014"""
브이디500아이유정(콜레칼시페롤과립),"""8806538049106"",""8806538049113"",""8806538049120"",""8806538049137"""
브이디썬정,"8806538059815"""""""
브이멜라인장용정(브로멜라인),"""8800570006202"",""8800570006226"",""8800570006233"",""8800570006240"",""8800570006219"""
브이코에이치캡슐,"""8806258013906"",""8806258013913"""
브이코프에이치캡슐,"8806258014118"""""""
브이콜에이치캡슐,"""8806258014002"",""8806258014019"""
브이타민큐정,"8806575035117"""""""
브이텐연질캡슐,"8806421006520"""""
블루카인크림(리도카인),"""8806490011708"",""8806490011715"",""8806490011722"""
블루콜엠연질캡슐,"""8806616044306"",""8806616044313"""
블루콜연질캡슐(수출용),"""8806616005208"",""8806616005215"""
비가졸액(케토코나졸),"""8806432005000"",""8806432005017"",""8806432005024"""
비감수액,"""8806604021203"",""8806604021210"""
비거스액(시트룰린말산염),"""8806625026706"",""8806625026713"",""8806625026720"",""8806625026737"""
비나폴로100정,"8806445025613"""""
비나폴로엑스트라연질캡슐,"""8806445004106"",""8806445004113"",""8806445004120"",""8806445004137"""
비나폴로프리미엄정,"8806445020410"""""
비나플러스연질캡슐,"8800551017104"""""
비나핀크림(테르비나핀염산염),"""8806529006408"",""8806529006415"",""8806529006422"""
비도스캡슐(에르도스테인),"""8806636007107"",""8806636007114"",""8806636007121"",""8806636007138"",""8806636007145"""
비디클로라프렙외용액,"""8806464013011"",""8806803001204"",""8806464013028"",""8806803001211"",""8806464013110"",""8806803001228"",""8806464013127"",""8806803001310"",""8806464013219"",""8806803001327"",""8806464013226"",""8806803001419"",""8806464013318"",""8806803001426"",""8806464013325"",""8806803001433"",""8806464013417"",""8806803001440"",""8806464013233"",""8806803001518"",""8806464013240"",""8806803001525"",""8806464013332"",""8806803001532"",""8806464013349"",""8806803001549"",""8806464013424"",""8806803001617"",""8806464013004"",""8806803001624"",""8806464013103"",""8806803001303"",""8806464013202"",""8806803001402"",""8806464013301"",""8806803001501"",""8806464013400"",""8806803001600"""
비라밸정,"""8806427067204"",""8806427067211"""
비맥스골드정,"""8806581056809"",""8806581056816"",""8806581056823"",""8806581056830"",""8806581056847"",""8806581056854"""
비맥스메타비정,"""8806581082006"",""8806581082013"",""8806581082020"""
비맥스메타정,"8806581063111"""""
비맥스비비정,"""8806581061209"",""8806581061216"""
비맥스액티브정,"8806581058919"""""
비맥스에버정,"""8806581081016"",""8806581081009"",""8806581081023"""
비맥스에버플러스정,"8806581084314"""""""
비맥스엠지플러스연질캡슐,"8806581084017"""""""
비맥스제트정,"""8806581084406"",""8806581084413"",""8806581084420"",""8806581084437"",""8806581084444"",""8806581084451"""
비메진정,"""8800732005401"",""8800732005418"""
비바골드액(L-아스파르트산-L-아르기닌수화물),"""8806625047909"",""8806625047923"",""8806625047930"",""8806625047916"",""8806625047947"""
비바원정,"""8806446026107"",""8806446026114"",""8806446026121"""
비백큐골드정,"""8806575034400"",""8806575034417"",""8806575034431"",""8806575034424"",""8806575034455"",""8806575034448"""
비백파워정,"8806560043516"""""""
비보존에르도스테인캡슐,"8806582031119"""""
비비코에스연질캡슐,"8806616043316"""""""
비사린정,"""8806409043707"",""8806409043714"",""8806409043721"",""8806409043738"",""8806409043745"",""8806409043752"""
비사진나잘스프레이(덱스판테놀),"""8806265001705"",""8806425067602"",""8806265001712"",""8806425067619"",""8806265001729"""
비사콜장용정,"""8806502048456"",""8806502048425"",""8806502048401"",""8806502048432"",""8806502048418"",""8806502048449"""
비사큐정,"""8806448050407"",""8806448050414"""
비센큐정,"""8806228020200"",""8806228020217"""
비스칸엔산(바실루스리케니포르미스균),"""8806431011309"",""8806431011330"",""8806431011347"",""8806431011361"",""8806431011378"""
비스칸엔캡슐(바실루스리케니포르미스균),"""8806431031208"",""8806431031215"",""8806431031222"",""8806431031239"",""8806431031246"",""8806431031253"""
비스칸지캡슐,"""8806431011606"",""8806431011613"",""8806431011637"",""8806431011651"",""8806431011668"",""8806431011675"",""8806431011682"""
비스콘틴800정,"8800724004412"""""
비스타에스점안액,"8806502022418"""""""
비스타정,"8806562049103"""""""
비스타치정(글루타티온(환원형)),"""8806218024607"",""8806218024614"",""8806218024621"""
비스타치플러스정(글루타티온(환원형)),"""8806218026809"",""8806218026816"",""8806218026823"",""8806218026830"""
비시드에프정,"""8806543038607"",""8806543038614"",""8806543038621"",""8806543038638"""
비아콘정,"""8806409044001"",""8806409044018"""
비아핀에멀젼(트롤아민),"""8806428008107"",""8806428008114"""
비알덱시펜시럽(덱시부프로펜),"""8806705006000"",""8806705006017"""
비알뮤코과립(아세틸시스테인),"""8806705007809"",""8806705007816"""
비알뮤코캡슐(아세틸시스테인),"""8806705007700"",""8806705007717"",""8806705007724"""
비알에스락산(바실루스리케니포르미스균),"""8806705006703"",""8806705006710"",""8806705006727"""
비알에스락캡슐(바실루스리케니포르미스균),"""8806705006802"",""8806705006819"",""8806705006826"""
비알이부펜시럽(이부프로펜),"""8806705005904"",""8806705005911"""
비알코에이시럽,"8806705006611"""""""
비알테르빈크림(테르비나핀염산염),"""8806419064112"",""8806419064105"""
비앤비정,"""8800732000215"",""8800732000208"""
비엔티정,"""8806604025102"",""8806604025119"""
비엘비정,"""8806472057106"",""8806472057113"",""8806472057120"""
비엘아세틸캡슐(아세틸시스테인),"""8806903024004"",""8806903024011"",""8806903024028"",""8806903024035"""
비엘피린장용정100밀리그램(아스피린),"""8800540005204"",""8806226004301"",""8800540005211"",""8806226004318"",""8800540005228"",""8806226004325"""
비엠겔9.6%(리도카인),"""8806441003202"",""8806441003219"",""8806441003226"""
비엠쿨에프캡슐,"8806581056717"""""""
비오딘산(바실루스리케니포르미스균),"""8806496040702"",""8806695008800"",""8806496040719"""
비오딜정5밀리그램(비오틴),"""8806448059608"",""8806998017110"",""8806448059615"",""8806998017103"",""8806448059622"",""8806448059639"""
비오라민정,"8806519012518"""""
비오락토캡슐(락토바실루스아시도필루스균),"""8806512005609"",""8806512005616"",""8806512005623"",""8806512005630"""
비오루스산(바실루스리케니포르미스균),"""8806512044509"",""8806512044516"""
비오루스캡슐(바실루스리케니포르미스균),"""8806512043502"",""8806512043519"",""8806512043526"""
